nr,lokalita,otazka,datum,opravnene_osoby,ucast,platnost_referenda,pro,proti,zavaznost,platnost_hlasovani,platnost_fin,platnost_T,referendum_validity,referendum_binding,voting_valid,binding_minimum_count,rok_fin,rok_T,obec_fin,okres_fin,kraj_fin,geo_city,lok_T
29.0,"Láz                          (Příbram, STČ)","Souhlasíte s tím, aby Zastupitelstvo obce Láz podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-07-28 00:00:00,456,0.603,ANO,"254     (94,5 %)","6            (2,2 %)",ANO       (138),,ANO,True,True,True,True,138,2007,True,Láz,Příbram,Střední čechy,"Láz, Příbram, Střední čechy, Česká republika",True
30.0,"Štítov                 (Rokycany, PLK)","Souhlasíte s tím, aby zastupitelstvo obce Štítov podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-06-09 00:00:00,44,0.864,ANO,"33       (86,8 %)","5          (13,2 %)",ANO         (20),,ANO,True,True,True,True,20,2007,True,Štítov,Rokycany,Plzeňský kraj,"Štítov, Rokycany, Plzeňský kraj, Česká republika",True
31.0,"Veselá               (Rokycany, PLK)","Má obec Veselá při výkonu své samostatné působnosti využít všech zákonných prostředků, aby zabránila výstavbě radarové základny Spojených států amerických na území Vojenského výcvikového prostoru Brdy?",2007-06-30 00:00:00,169,0.538,ANO,"90       (98,9 %)","1            (1,1 %)",ANO         (46),,ANO,True,True,True,True,46,2007,True,Veselá,Rokycany,Plzeňský kraj,"Veselá, Rokycany, Plzeňský kraj, Česká republika",True
32.0,"Lichkov                          (Ústí nad Orlicí, PAK)","Souhlasíte se stavbou větrné elektrárny na ""Hraničním kopci"" v k.ú. Lichkov?",2007-09-08 00:00:00,411,0.5669,ANO,"213     (91,8 %)","19          (8,2 %)",ANO       (117),,ANO,True,True,True,True,117,2007,True,Lichkov,Ústí nad Orlicí,Pardubický kraj,"Lichkov, Ústí nad Orlicí, Pardubický kraj, Česká republika",True
33.0,"Bohutín                   (Příbram, STČ)","Souhlasíte s tím, aby Zastupitelstvo obce Bohutín podniklo veškerá zákonná opatření k tomu, aby zamezilo výstavbě radarové základny Spojených států amerických na území Vojenského újezdu Brdy?",2007-09-01 00:00:00,1289,0.378,NE,458        (94 %),"28          (5,7 %)",NE,,NE,True,False,False,True,0,2007,True,Bohutín,Příbram,Střední čechy,"Bohutín, Příbram, Střední čechy, Česká republika",True
34.0,"Omice                            (Brno-venkov, JHM)","Souhlasíte s tím, aby zastupitelstvo obce Omice při vydávání územního plánu podniklo v samostatné působnosti kroky ke schválení lokality Z.7, Z.22 a Z.25 pro výstavbu rodinných domů?",2007-10-20 00:00:00,580,0.56,ANO,"62        (19,1 %)","253     (77,9 %)",ANO       (163),,ANO,True,True,True,True,163,2007,True,Omice,Brno-venkov,Jihomoravský kraj,"Omice, Brno-venkov, Jihomoravský kraj, Česká republika",True
35.0,"Vnorovy                     (Hodonín, JHM)","1. Souhlasím, aby v katastru obce Vnorovy byla vybudována na pozemcích ve vlastnictví Obce Vnorovy fotovoltaická elektrárna na ploše do 65 ha.                                                                                        2. Souhlasím s prodejem pozemků ve vlastnictví Obce Vnorovy za účelem výstavby fotovoltaické elektrárny.",2007-11-24 00:00:00,2457,0.353,NE,"ad) 1 260    ad 2) 76 (30 %;    8,8 %)","ad 1) 574    ad 2) 750 (66,2 %; 86,5 %)",NE,,NE,True,False,False,True,0,2007,True,Vnorovy,Hodonín,Jihomoravský kraj,"Vnorovy, Hodonín, Jihomoravský kraj, Česká republika",True
36.0,"Nový Rychnov (Pelhřimov, VYS)","Požadujete, aby orgány Obce Nový Rychnov využily všech svých zákonných rozhodovacích pravomocí v samostatné působnosti (včetně schvalování územního plánu a jeho změn) k tomu, aby zabránily výstavbě hlubinného úložiště vyhořelého jaderného paliva a vysoce radioaktivních odpadů v lokalitě Rohozná?",2007-09-29 00:00:00,809,0.472,NE,"362     (94,8 %)","20          (5,2 %)",NE,,NE,True,False,False,True,0,2007,True,Nový Rychnov,Pelhřimov,Kraj Vysočina,"Nový Rychnov, Pelhřimov, Kraj Vysočina, Česká republika",True
37.0,"Horní Blatná (Karlovy Vary, KVK)","Souhlasíte s tím, aby zastupitelstvo Horní Blatné podpořilo výstavbu silničního obchvatu Horní Blatné?",2007-11-03 00:00:00,305,0.446,NE,"98       (72,1 %)","36         (26,5 %)",NE,,NE,True,False,False,True,0,2007,True,Horní Blatná,Karlovy Vary,Karlovarský kraj,"Horní Blatná, Karlovy Vary, Karlovarský kraj, Česká republika",True
38.0,"Koleč                          (Kladno, STČ)",Souhlasíte s výstavbou větrných elektráren na katastrálním území obce Koleč?,2007-10-29 00:00:00,471,0.306,NE,"59       (40,8 %)","81       (56,3 %)",NE,,NE,True,False,False,True,0,2007,True,Koleč,Kladno,Střední čechy,"Koleč, Kladno, Střední čechy, Česká republika",True
