poradi,lokalita,otazka,datum,opravnene_osoby,ucast,platnost_referenda,pro,proti,zavaznost,platnost_hlasovani
152.0,"Plzeň                        (Plzeň, PLK)","Souhlasíte s tím, aby město Plzeň bezodkladně podniklo veškeré kroky v samostatné působnosti, aby nemohlo dojít k výstavbě obchodního zařízení na místě Domu kultury Inwest?",11. - 12. 1.  2013,132929,0.415,ANO,"35543 (64,4%)",18744 (34%),ANO   (33233),
153.0,"Zábřeh              (Šumperk, OLK)","Souhlasíte s tím, aby město Zábřeh prodalo svoje pozemky za účelem vybudování energetického zdroje a papírny podle záměru firmy WANEMI CZ a.s.?",11.-12.1.2013,11533,0.596,ANO,"1 542 (22,4 %)","5 241 (76,2 %)",ANO             (2 884),
154.0,"Kobeřice                (Opava, MSK)",Má obec Kobeřice prodat rozestavěnou budovu na parc. č. 343/3 a pozemky parc. č. 343/2 a 343/3 v k.ú. Kobeřice ve Slezsku za účelem výstavby supermarketu za cenu minimálně 6 miliónů korun?,2013-01-12 00:00:00,2661,0.589,ANO,"615           (39,2 %)","925          (59,1 %)",ANO       (665),
155.0,"Nelahozeves (Mělník, STČ)",Souhlasíte s rozšířením skládky komunálního odpadu na katastrální území obce Nelahozeves?,2013-02-15 00:00:00,1376,0.5029,ANO,"465 (67,2%)","227 (32,8%)",ANO       (344),
156.0,"Hýsly                   (Hodonín, JHM)",Chci bioplynnovou elektrárnu v katastrálním území obce Hýsly?,2013-02-23 00:00:00,321,0.664,ANO,66               (31 %),"142         (66,7 %)",ANO         (81),
157.0,"Dolní Tošenovice (Frýdek - Místek, MSK) ",1. Souhlasíte se zachováním výuky v Základní škole Dolní Tošanovice?,2013-03-15 00:00:00,264,0.273,NE,"37 (51,4%)","33 (45,8%)",NE             (66),
,,2. Souhlasíte se sloučením obcí Dolní Tošanovice a Horní Tošanovice?,,,,,"23 (31,9%)","46 (63,9%)",,
158.0,"Brušperk                 (Frýdek - Místek, MSK)","Jste pro, aby město Brušperk postavilo krytý plavecký bazén?",2013-03-16 00:00:00,3213,0.489,ANO,"963 (61,3%)","595 (37,9%)",ANO        (804),
159.0,"Semily                        (Semily, LBK)",Jste pro vybudování geotermální elektrárny s přidruženou výrobou tepla v katastrélním území města Semily?,2013-03-22 00:00:00,7068,0.289,NE,"364   (17,8%)","1 666 (81,6%)",NE         (1767),
160.0,"Jablonné nad Orlicí                  (Ústí nad Orlicí, PAK)","Souhlasítes tím, aby byl prodán pozemek pd stávajícím autobusovým nádraží, který je ve vlastnictví Města Jablonné nad Orlicí a na něm postavena provozovna firmy Penny Market s.r.o, Praha 6?",2013-03-22 00:00:00,2370,0.564,ANO,"618 (46,2%)","689 (51,5%)",ANO       (593),
161.0,"Vítkov                    (Opava, MSK)","1. Souhlasíte s tím, aby Město Vítkov převzalo od stávajícího zřizovatele Moravskoslezského kraje zřizovatelské funkce ke Gymnáziu, Vítkov, Komenského 145, p.o., a to ke dni 17.7.2013 a současně aby Gymnázium, Vítkov sloučilo se se Základní školou Vitkov, Komenského 754, okres Opava, p.o.?                                            ",2013-03-22 00:00:00,4927,0.226,NE,435   (39%),"643 (57,8%)",NE         (1232),
,,"2. Souhlasíte s tím, aby Město Vítkov sloučilo své základní školy, Základní školu Vítkov, Opavská 22, okres Opava, p.o., a Základní školu Vítkov, Komenského 754, okres Opava, p.o. do jednoho subjektu?",,,,,"344 (30,9%)","717 (64,4%)",,
162.0,"Pavlov                     (Kladno, STČ)","Požadujete, aby orgány obce Pavlov zachovaly v obecním parku petanquové hřiště?                 (vyhlášené na základě usnesení KS v Praze)",2013-03-23 00:00:00,102,0.274,NE,28         (100%),0,NE             (36),
163.0,"Mníšek pod Brdy (Černošice, STČ)",1. Souhlasíte s přeměnou stávajícího překladiště komunálních odpadů v areálu UVR na mechanickou třídírnu a biologickou úpravnu těchto odpadů?,2013-05-17 00:00:00,3953,0.319,NE,162 (12.8%),1073 (85%),NE           (989),
,,"2. Souhlasíte s tím, aby na území města Mníšek pod Brdy mohlo být realizováno zařízení, které umožní spalování odpadů?",,,,,"27    (2,1%)","1201 (95,2%)",,
164.0,"Pardubice (Pardubice, PAR)",Souhlasíte s členěním statutárního města Pardubice na městské obvody?,2013-06-13 00:00:00,71313,0.209,NE,"8980 (60,2%)","5802 (38,9%)",NE       (17829),
165.0,"Oldříš                        (Polička, PAR)","Souhlasíte, aby v letech 2014-2015 byla vybudována v obci Oldřiši tlaková kanalizace z dotací Evropské unie a Státního fonu životního prostředí?",2013-09-06 00:00:00,517,0.582,ANO,"116 (38,5%)","185 (61,5%)",ANO        (130),
166.0,"Boskovice (Boskovice, JMK) ","Požadujete, aby orgány města Boskovice učinily v samostatné působnosti rozhodnutí k tomu, aby nebyla zahájena stavba sportovní haly na ulici Slovákova v Boskovicích?",2013-09-20 00:00:00,9362,0.223,NE,"1386 (66,4%)",669   (32%),NE        (2341),
167.0,"Kozmice              (Benešov, SDK)","Souhlasíte s tím, aby ve správním území obce Kozmice došlo k výstavbě objektu větrné elektrárny?",2013-09-21 00:00:00,226,0.434,ANO,"20        (20,4%)","77  (78,6%)",ANO          (57),
168.0,"Liberec                   (Liberec, LBK)","1. Chcete, aby Statutární město Liberec prodalo, zastavilo nebo pronajalo na déle než jeden rok soubor pozemků Letiště Liberec či jeho jednotlivé části uvedené v usnesení zastupitelstva města č. 246/2012?",2013-10-14 00:00:00,80501,0.169,NE,"459      (3,4%)","12986 (95,5%)",NE      (20126),
,,"2. Chcete, aby orgány Statutárního města Liberce prodaly nebo zastavily obchodí podíl v městské společnosti Technické služby města Liberce, a. s. a v dalších společnostech s majetkovou účastí města?",,,,,"323      (2,4%)","13109 (96,4%)",,
,,"3. Chcete, aby orgány Statutárního města Liberce prodaly, zastavily nebo pornajaly na déle než jeden rok městské pozemky a nemovitosti uvedené v seznamech ""Pozemky vyřazené z privatizačního procesu"" a ""Nemovitosti vyřazené z privatizačního procesu"" dle stavu ke dni 1. 2. 2013, které byly schváleny zastupitelstvem města?",,,,,"347       (2,5%)",13054 (96%),,
169.0,"Kopřivnice (Kopřivnice, MSK)","Souhlasíte s tím, aby se část obce - Lubina oddělením od města Kopřivnice stala samostatnou obcí?",2013-10-19 00:00:00,1349,0.604,ANO,"213 (26,1%)",579        (71%),NE            (337),
170.0,"Horní Újezd (Litomyšl, PAR)","Souhlasíte s tím, aby obec Horní Újezd přistoupila k přestavbě budovy bývalé základní školy čp. 164 v naší obci na bytový dům?",25. - 26. 10. 2013,326,0.666,ANO,"161 (74,2%)","43  (19,8%)",ANO          (82),
171.0,"Tlustice                (Hořovice, SDK)","Souhlasíte s výstavbou provozovny krematoria pro zvířata ze zájmového chovu na katastrálním území Tlustice, p. č. 353/4?",25. - 26. 10. 2013,731,0.709,ANO,"41    (7,9%)",456       (88%),ANO        (183),
172.0,"Teplá                  (Mariánské Lázně, KVK)","Souhlasíte s tím, aby bylo vybudováno a následně provozováno Centrum služeb sociální prevence v Teplé?",25. - 26. 10. 2013,2405,0.465,ANO,90               (8%),1006 (90%),ANO        (602),
173.0,"Dvůr Králové nad Labem                          (Dvůr Králové nad Labem, HKK)","1. Souhlasíte s tím, aby provozování výherních hracích přístrojů a interaktivních videoloterijních terminálů vymezených zákonem o loteriích a jiných podobných hrách na území města Dvůr Králové nad Labem bylo zcela zakázáno?",25. - 26. 10. 2013,13243,0.544,ANO,"5812 (80,7%)","1131 (15,7%)",ANO     (3311),
,,"2. Souhlasíte s tím, aby vodovodní a kanalizační síť města Dvůr Králové nad Labem zůstala v majetku města Dvůr Králové nad Labem a byla nadále provozována výhradně se 100% majetkovým podílem města Dvůr Králové nad Labem?",,,,,"6807 (94,5%)","203  (2,8%)",,
174.0,"Hýskov                (Beroun, STČ)",Souhlasíte s výstavbou zvířecího krematoria v katastrálním území obce Hýskov?,25. - 26. 10. 2013,1245,0.658,ANO,"761 (92,2%)","42    (5,1%)",ANO        (312),
175.0,"Hnojník                  (Třinec, MSK)","Souhlasíte s tím, aby zastupitelstvo obce schválilo koupi areálu Hotelu Park, tj. budovu v Hnojníku, čp. 48, zemědělskou stavbu a přilehlé pozemky o celkové výměře 2 985 m2 za kupní cenu 6 000 000 Kč?",2013-11-30 00:00:00,1253,0.429,ANO,"421 (78,3%)",113   (21%),ANO        (314),
176.0,"Trstěnice                (Litomyšl, PAR)","Souhlasím, aby byla vybudovaná v obci Trstěnice tlaková kanalizace?",2014-01-11 00:00:00,404,0.698,ANO,"78          (27,7%)","201 (71,3%)",ANO        (101),
176.0,"Borová                     (Polička, PAR)","Chcete, aby v letech 2014 - 2015 byla v obci Borová vybudována gravitační kanalizace z dotací EU a Státního fondu životního prostředí?",2014-01-11 00:00:00,795,0.603,ANO,"467 (97,5%)","10    (2,1%)",ANO        (199),
177.0,"Arnolec                   (Jihlava, VYS)",1. Souhlasíte s výstavbou hřbitova na území obce Arnolec?,2014-01-18 00:00:00,126,0.714,ANO,"23         (25,6%)","67  (74,5%)",ANO          (32),
,,"2. Má obec Arnolec při výkonu své působnosti využít všech zákonných prostředků, aby stavbě tohoto hřbitova na svém území zabránila?",,,,,"68  (75,6%)","21  (23,3%)",,
178.0,"Zliv                                     (České Budějovice, JHK)","Souhlasíte, aby město Zliv v rámci samostatné působnosti obce realizovalo projekt ""Sběrný dvůr Zliv"" ve Zlivi, Dolní náměstí, p. č. 3416?",2014-01-24 00:00:00,3009,0.454,ANO,"184 (13,5%)","1153 (84,5%)",ANO        (753),
179.0,"Kurdějov              (Břeclav, JHM) ","Jste proti plánované výstavbě rodinných domků 
     v obci Kurdějov na místní lokalitě Záhumenice?",2014-02-26 00:00:00,345,0.42,ANO,"23  (15,8%)","121 (82,9%)",ANO         (87),
180.0,"Neurazy              (Nepomuk, PLK)","Souhlasím s tím, aby obec Neurazy vybudovala víceúčelovou budovu pro zábavu a sport spojenou s Martinskou hospodou č. p. 20 v Neurazech na pozemcích p. č. 57/1, 2091, 2090, 137/2 a 137/1?",2014-03-01 00:00:00,664,0.536,ANO,"212 (59,5%)",135    (38%),ANO       (166),
181.0,"Střížovice                  (Plzeň, PLK)","Má obec Střížovice provést veškeré úkony pro pořízení územního plánu obce tak, aby obsahoval vymezení pozemků pro výstavbu větrných elektráren?",2014-03-01 00:00:00,317,0.827,ANO,119   (45%),136   (51%),ANO         (79),
182.0,"Želechovice                (Uničov, OLK)","Souhlasíte s tím, aby obec Želechovice uzavřela nájemní smlouvu na dlouhodobý pronájem ""místního hřiště"" za účelem provozování sportoviště?",2014-03-15 00:00:00,Neoznámeno,,,,,,
183.0,"Dvory nad Lužnicí (Jindřichův Hradec, JHČ)","1. Požadujete, aby orgány obce Dvory nad Lužnicí učinily v samostatné působnosti veškeré možné kroky k tomu, aby
zabránily provozování loterií a jiných podobných her, zejména výherních hracích přístrojů, interaktivních videoloterijních
terminálů a dalších přístrojů podobných výherním hracím přístrojům na území obce?",2014-03-22 00:00:00,270,0.73,ANO,"137 (69,5%)","54  (27,4%)",ANO         (68),
,,"2. Požadujete, aby orgány obce Dvory nad Lužnicí učinily v samostatné působnosti veškeré možné kroky k tomu, aby
zabránily nabízení, sjednávání, provozování a využívání sexuálních služeb na všech veřejných prostranství?",,,,,"150 (76,1%)","39   (19,8%)",,
184.0,"Svojetice                  (Říčany, STČ)"," Souhlasíte s tím, aby zastupitelstvo obce Svojetice schválilo návrh změny územního plánu, podle které by vznikaly nové zastavitelné plochy pro vybudování nových komunikací ( dvě vedle sebe procházející okružní cesty vedoucí také současnou zástavbou rodinných domů) včetně kruhového objezdu u hřbitova na křižovatce silnic z Tehovce a ze Srbína?",2014-04-11 00:00:00,657,0.35,ANO,"27   (11,7%)","198 (86,1%)",ANO       (164),
185.0,"Praha 8                   (Praha, PHA)","Souhlasíte, aby městská část Praha 8, z důvodu zlepšení míry ochrany veřejného pořádku, učinila veškeré právní kroky vedoucí k zákazu provozování loterií a sázkových her, zejména výherních hracích přístrojů a interaktivních videoloterijních terminálů a jiných obdobných přístrojů uvedených v ust. § 2 písm. e), g), i), j), l), m) a n) a ust. § 50, odst. 3, zákona České národní rady č. 202/1990 Sb.,                o loteriích a jiných podobných hrách, ve znění pozdějších předpisů, a to na celém jejím území ?“ ",2014-04-12 00:00:00,79312,13.8%,NE,"10483 (95,7%)","295   (2,7%)",NE       (19828),
186.0,"Kozomín                (Mělník, STČ)","1. Souhlasíte s tím, aby obec Kozomín schválilo změnu územního plánu v lokalitě Z12 (bývalý zemedělský areál), která by umožnila zvýšit platné limitní parametry (instalovaný výkon, objem vstupní suroviny, hluk, emise)?",2014-04-26 00:00:00,321,0.576,ANO,"66  (35,7%)","103    (55,7%)",ANO         (81),
,,"2. Souhlasíte s tím, aby zastupitelstvo obce Kozomín schválilo změnu územního plánu katastru obce Kozomín, která by umožnila stavbu papírny?",,,,,"66  (35,7%)","104 (56,2%)",,
187.0,"Praha 7                     (Praha, PHA)","1. Souhlasíte s tím, aby orgány Městské části Praha 7 činily v rámci samostatné působnosti městské části úkony pro to, aby na území MČ Praha 7 došlo k redukci na maximálně 20 provozoven provozujících loterie a sázkové hry uvedené v § 2 písm. e), g), i), j), l), m) a n) a § 50 odst. 3 zákona o loteriích a jiných podobných hrách, tj. zejména výherních hracích přístrojů a interaktivních videoloterijních terminálů, lokálních i centrálních loterijních systémů a jiných obdobných přístrojů na celém území MČ  Praha  7?          ",23. - 24. 5. 2014,30524,0.252,NE,"3330 (43,3%)","1885 (24,5%)",NE        (7631),
,," 2. Souhlasíte s tím, aby Městská část Praha 7 vyzvala Zastupitelstvo hlavního města Prahy             k vyhlášení nulové tolerance provozování loterií         a sázkových her uvedených v § 2 písm. e), g), i), j), l), m) a n) a § 50 odst. 3 zákona o loteriích a jiných podobných hrách, tj. zejména výherních hracích přístrojů a interaktivních videoloterijních terminálů, lokálních i centrálních loterijních systémů a jiných obdobných přístrojů na celém území MČ Praha 7? ",,,,,"6666 (86,7%)","582  (7,6%)",,
188.0,"Velká Chuchle (Praha, PHA)","Souhlasíte s tím, aby MČ Praha - Velká Chuchle podporovala svými rozhodnutími další projektovou přípravu a realizaci varianty E Tunel mimoúrovňového křížení ulice Starochuchelská        s tratí ČD, která byla schválena zastupiteltvem MČ dne 24. 2. 2014? ",23. - 24. 5. 2014,1687,0.322,NE,"417 (76,1%)","107 (19,5%)",NE          (422),
189.0,"Vodňany (Strakonice, JHČ)","Souhlasíte s výstavbou dřevozpracujícího závodu      v územním obvodu Vodňan, v lokalitě vzdálené 1,1 km východně od obchvatu města ve směru po silnici na Radomilice, kde dle údajů investora vznikne cca 500 pracovních míst?",23. - 24. 5.  2014,5380,0.328,NE,"599 (33,9%)","1122 (63,6%)",NE        (1883),
190.0,"Šebetov               (Blansko, OLK)",Souhlasíte s realizací stavby Středisko energetického využívání a recyklace surovin Šebetov (RSŠ) v obci Šebetov?,23. - 24. 5.  2014,732,0.496,ANO,"143 (39,4%)","216 (59,5%)",ANO       (183),
191.0,"Velenov              (Blansko, OLK)","Souhlasíte, aby obec Velenov uskutečnila svůj záměr výstavby rozhledny na katastrálním území obce Velenov?",23. - 24. 5.  2014,169,0.876,ANO,"88  (59,5%)","60  (40,5%)",ANO         (43),
192.0,"Velká Bystřice (Olomouc, OLK)","Souhlasíte, aby Město Velká Bystřice trvale přemístilo v průběhu školního roku 2014/2015 provoz předškolního vzdělávání z Mateřské školy Na Svobodě 450 ve Velké Bystřici do budovy Mateřské školy Zámecké náměstí 83 ve Velké Bystřici?",23. - 24. 5.  2014,2521,0.304,NE,"330 (44,3%)","414 (55,6%)",NE          (631),
193.0,"Hrobčice                (Teplice, ULK)","Souhlasím, aby obec Hrobčice koupila do svého vlastnictví areál bývalého azylového zařízení Červený Újezd - Měrunice č.p. 135, za maximální kupní cenu 15 000 000 Kč?",23. - 24. 5. 2014,828,0.241,NE,"153 (76,9%)","37  (18,6%)",NE          (207),
194.0,Městská část Praha 8                     (Praha),"Požadujete, aby Městská část Praha 8 učinila veškeré kroky vedoucí k zákazu provozování loterií a sázkových her, zejména výherních hracích přístrojů a interaktivních videoloterijních terminálů a jiných obdobných přístrojů uvedených v ust. § 2 písm. W),g),i),j),l),m) a n) a ust. § 50 odst. 3 zákona o loteriích a jiných podobných hrách, a to na celém svém území?",10. - 11. 10 2014,78800,0.2286,NE,"17048 (94,7%)","763        (4,2%)",NE      (19700),
195.0,"Holešov                     (Kroměříž, ZLK) ","Požadujete, aby město Holešov zakázalo provozování loterií a sázkových her uvedených v §2 písm. e),g),i),j),l),m),n) a §50 odst. 3zákona o leteriích ajiných podonbých hrách, tj, zejména výhernícj hrascích přístrojů a interaktivních videoloterijních terminálů, lokálních i centrálních loterijních systémů a jiných obdobných přístrojů na celém svém území včetně místních částí, Dobrotice, Količín, Tučapy a Žopy?""",6.9. 2014               8 - 22 hod.,9688,0.0634,NE,"554 (90,23%)"," 42      (9,77 %)",NE         (2422)       ,
196.0,"Vendolí               (Svitavy, PAK)","Souhlasíte, aby byla zahájena výstavba tlakové kanalizace a aby zastupitelé učinili kroky k její realizaci?",19.7. 2014          7 - 22 hod.,784,0.65,ANO,308      (63%),181      (37%),ANO          (273)        ,
197.0,"Praha 3                   (Praha)
","1. „Souhlasíte s tím, aby městská část Praha 3 podnikla veškeré kroky v samostatné působnosti k tomu, aby lokalita Parukářka, určená částmi pozemků č. parc. 1780/35, 1780/41, 1780/79, 1780/1, 4211/2, 4223/1, 1780/17, 4202, 4226, 4224/15, 1782/2, 1782/3, 4218, 4224/11, 4219, 4223/11, 4229/7, 4229/8, 4223/22, 4223/25, 4229/1, 4229/2, 4229/9, 4229/10, 4223/21, 1780/31,4223/2, 1746/1, 1780/32, 4229/11, 4229/12, 4223/24, 4223/26, 4223/27, 4223/28, 4223/29, 4223/30, vše v k. ú. Žižkov, vymezenými v platném územním plánu jako plochy ZP nebo SO3,7, byla využívána pouze jako parky, zahrady, sady, zeleň, pobytové louky, dětská hřiště, nekrytá sportovní zařízení bez vybavenosti, cyklistické stezky, pěší komunikace, drobné vodní plochy, zahradní restaurace, dětské tábory a skautské základny?“
2. „Souhlasíte s tím, aby městská část Praha 3 podnikla veškeré kroky v samostatné působnosti k tomu, aby pozemek parc. Č. 1780/28 v k. ú. Žižkov byl využit jako zeleň?“
",10. - 11. 10 2014,53157,0.2453,NE,"1. 12675 (97,2%)   2. 12430 (95,3%)","1. 157 (1,2%)     2. 213 (1,6 %)",NE      (13290),
198.0,"Štětí                   (Litoměřice, ULK)","Souhlasíte s tím, aby město Štětí zakázalo provozování loterií a sázkových her
uvedených v §2 písm. e), g), i), j), l), m), a n) a § 50, odst. 3, zák. o loteriích a jiných
podobných hrách, tj., zejména výherních hracích přístrojů a interaktivních videoloterijních
terminálů, lokálních i centrálních loterijních systémů a jiných obdobných přístrojů na celém
svém území, a to s právní účinností nejpozději do 31.12.2015 ?",10. - 11. 10 2014,7134,0.1911,NE,"1187 (87,86 %)","157 (11,62 %)",NE        (1784),
199.0,"Mikulov                  (Břeclav, JMK)","Souhlasíte s tím, aby Zastupitelstvo města Mikulov schválilo využití objektu bývalé hasičské zbrojnice v Mikulově (budova – stavba občanského vybavení č.p. 807 na pozemku parcelní číslo 1603 v katastrálním území Mikulov na Moravě) jako tržnici?",10. - 11. 10 2014,6115,0.193,NE,901 (76%),255 (22%),NE      (1529),
200.0,"Jenišov            (Karlovy Vary,KVK)",Souhlasíte s těžbou kaolinu v K. Ú. Jenišov?,10. - 11. 10 2014,625,0.453,ANO,"24         (8,48 %)","256         (90,46 %)",ANO       (157),
201.0,"Bystřice nad Pernštejnem                 (Žďár nad Sázavou, VYS)","Chcete v Bystřici nad Pernštejnem závod na výrobu jaderného paliva, likvidaci_x000D_
radioaktivních odpadů a slévárnu uranových slitin?",10. - 11. 10 2014,6951,0.521,ANO,"683        (18,84 %)","2903 (80,08 %)",ANO     (1738),
202.0,"Městys Černá Hora (Blansko, JHM)","Souhlasíte s tím. aby městys Čemá Hora vystoupil ze Svazku vodovodů a kanalizaci,měst a obcí se sídlem 17. listopadu 138/l4, 680 01 Boskovice",10. - 11. 10 2014,Neoznámeno,,,,,,
203.0,"Blansko              (Blansko, JHM)"," Souhlasíte s tím, aby Město Blansko provedlo na své náklady odstranění stavby hotelu
Dukla na náměstí Republiky v Blansku a následně vhodnou formou zajistilo revitalizaci
takto vzniklého prostranství?",10. - 11. 10 2014,16751,0.4227,ANO,"5319 (75,1%)","1673 (23,6%)",ANO     (4188),
204.0,"Pasohlávky                 (Brno - venkov, JHM)","1. Souhlasíte s tím, aby obec Pasohlávky zcela zakázala na svém území provozování výherních hracích přístrojů, interaktivních videoloterijních terminálů a jiných podobných her?  ","10. - 11. 10 2014
",611,0.6399,ANO,"334  (85,42 %)","38          (9,72 %)",ANO       (153),
,,"2. Souhlasíte s tím, aby se v obci omezila v neděli a ve státem uznávaných svátcích rušivá činnost (sekání trávy, řezání dřeva atd.)?",,,,,"207          (52,94 %)","166      (42,46 %)",,
205.0,"Olomouc               (Olomouc, OLK)","Souhlasíte s tím, aby  Statutární město Olomouc učinilo veškeré kroky vedoucí k zákazu provozování loterií a sázkových her
uvedených v §2 písm. e), g), i), j), l), m), a n) a § 50, odst. 3, zák. o loteriích a jiných
podobných hrách, ta to na celém
svém území?",12. 12.                14:00 - 22:00,81494,0.082,NE,"6389 (95,5%)","247  (3,7%)",NE      (20374),
206.0,"Vojkovice                    (Mělník, STK) ","Souhlasíte , aby do územního plánu obce Vojkovice nebyla zanesena oblast pro novou těžbu štěrkopísku?","15. 11. 2014       8:00 - 12,00",584,0.223,NE,"113 (86,9%)","15  (11,5%)",NE          (146),
207.0,"Náchod                 (Náchod, KHK)","1. Souhlasíte s tím, aby Město Náchod v areálu bývalé Tepny (st.
p. č. 2190/1, 338/1, 2188, 1974/1, 2187 a 403/4 v katastrálním území Náchod)
odkoupilo všechny pozemky, a to maximálně za cenu v místě a čase obvyklou s tím, že
tuto cenu stanoví nezávislý certifikovaný odhadce, na kterém se shodne prodávající i
kupující strana.",22.11.2014 08:00 - 20:00,16488,0.1367,NE,"1957 (86,78%)","226 (10,02%)",NE        (4122),
,,"2. Souhlasíte s tím, aby Město Náchod
v areálu bývalé Tepny (st. p. č. 2190/1, 338/1, 2188, 1974/1, 2187 a 403/4
v katastrálním území Náchod) trvalo v územním řízení na dodržení stávajícího
územního plánu a jeho Souhrnné průvodní zprávy, zejména na smíšeném rázu území
a blokové zástavbě s tradičním systémem ulic.
",,,,,"1916 (84,97%)","225 (9,98%)",,
208.0,"Ústí nad Labem          (Ústí nad Labem, ÚSK)","Souhlasíte s tím, aby statutární město Ústí nad Labem zakázalo provozování loterií a sázkových her uvedených v § 2 písm. e), g), i), j), l), m) a n) a § 50 odst. 3 zákona o loteriích a jiných podobných hrách, to jest, zejména výherních hracích přístrojů a interaktivních videoloterijních terminálů, lokálních i centrálních loterijních systémů a jiných podobných přístrojů, na celém svém území?",10. - 11. 10 2014,74933,0.1791,NE,"12395 (92,3 %)","913      (6,8 %)",NE      (18734),
209.0,"Obec Chotilsko              (Příbram, STK)","Souhlasíte s tím, aby obec Chotilsko podnikala veškeré úkony v samostatné působnosti k tomu, aby zabránila jakýmkoli činnostem, směřujícím k těžbě zlata na území obce Chotilsko",10. - 11. 10 2014,365,0.6712,ANO,"242  (98,78 %)","2             (0,82 %)",ANO         (92),
210.0,"Ústí nad Orlicí              (Ústí nad Orlicí, PAK)","Souhlasíte s tím, aby zastupitelstvo mesta v rámci své samostatné pusobnosti zakázalo
provozování sázkových her podle § 2 písm. e), g), i), l), m) a n) zákona c. 202/1990 Sb.,
o loteriích a jiných podobných hrách, ve znení pozdejších predpisu (dále jen ""zákon
o loteriích"") a loterií a jiných podobných her podle § 2 písm. j) a § 50 odst. 3 zákona
o loteriích, tj. zejména výherních hracích prístroju a interaktivních videoloterijních terminálu,
lokálních i centrálních loterijních systému a jiných podobných prístroju (dále jen ""výherní
hrací zarízení"") na území mesta Ústí nad Orlicí vcetne mestských cástí Hylváty, Kerhartice,
Knapovec, Dolní a Horní Houžovec, Cernovír, Oldrichovice?",10. - 11. 10 2014,11630,0.3443,NE,"3470 (86,66%)","464 (11,59%)",NE        (2908),
211.0,"Znojmo           (Znojmo, JMK)","Souhlasíte s tím, aby město Znojmo zakázalo provozování loterií a sázkových her uvedených v § 2 písm. e), g), i), j), l), m), a n) a § 50 odst. 3, zákona o loteriích a jiných podobných hrách, to jest, zejména výherních hracích přístrojů a interaktivních videoloterijních terminálů, lokálních i centrálních loterijních systémů a jiných obdobných přístrojů, na celém svém území?",2014-10-25 00:00:00,27637,0.1123,NE,"2962 (95,42%)","109 (3,51%)",NE           (6910),
212.0,"Město Brušperk              (Frýdek-Místek, MSK)","Souhlasíte s tím, aby město Brušperk zachovalo v provozu restauraci v Národním domě v Brušperku?",2014-11-01 00:00:00,3230,41.18%,ANO,"1306 (98,2%)","13          (0,98%)",ANO       (808),
213.0,"Žlutice                  (Karlovy Vary, KVK)","1. Souhlasíte s tím, aby jakékoli případné budoucí rozhodnutí příslušného orgánu města Žlutice o vložení do základního kapitálu společnosti, prodeji, směně nebo darování nemovitostí městské teplárny, tj. zejména pozemku st. 708 v k. ú. Žlutice a na něm stojících staveb a souvisejících páteřních teplovodních rozvodů, podléhalo předchozímu schválení místním referendem?",10. - 11. 10. 2014,2085,0.23309352517985613,NE,423         (87%),63          (13%),NE              (522),
,,"2. Souhlasíte s tím, aby jakékoli případné budoucí rozhodnutí příslušného orgánu města Žlutice o pronájmu nebo výpůjčce nemovitostí městské teplárny, tj. zejména pozemku st. 708 v k. ú. Žlutice a na něm stojících staveb a souvisejících páteřních teplovodních rozvodů, jinému subjektu než příspěvkové organizaci zřízené městem Žlutice nebo obchodní společnosti, v níž má město Žlutice stoprocentní majetkovou účast, podléhalo předchozímu schválení místním referendem?",,,0.22829736211031176,,"411 (86,3%)","65       (13,7%)",,
214.0,"Vranov                       (Brno-venkov, JMK)","1. Souhlasíte s tím, aby obec Vranov v samostatné působnosti prosazovala všemi zákonnými prostředky pouze takový rozvoj území obce, který nepovede k navýšení počtu obyvatel obce nad celkový počet 1000 obyvatel?",10. - 11. 10. 2014,599,0.3673,ANO,"179 (81,36%)","37 (16,81%)",ANO       (150),
,," 2. Souhlasíte s tím, aby obec Vranov podnikla bezodkladně všechny kroky v samostatné působnosti, včetně rozhodování o podobě územního plánu obce, k tomu aby nemohlo dojít k zastavění lokality Nad rybníkem (pard. Č 33, 301, 315/2, 316/1, 316/5, vše k.ú. Vranov u Brna) a Nad motokrosem II (parc. č. 263/3, 263/6, 263/7, 263/9, 263/11, 263/12, 263/13, 161/4, 416/1, vše k.ú. Vranov u Brna)?",,,,,176           (80%),"38            (17,2 %)",,
215.0,"Lovosice                        (Litoměřice, ÚSK)"," Souhlasíte s tím, aby město Lovosice zakázalo provozování loterií a sázkových her uvedených v § 2 písm. e), g), i), j), l), m) a n) a § 50 odst. 3 zákona o loteriích a jiných podobných hrách, tj. zejména výherních hracích přístrojů a interaktivních videoloterijních terminálů, lokálních i centrálních loterijních systémů a jiných obdobných přístrojů na celém svém území, a to s právní účinností nejpozději do 31. 12. 2015?",10. - 11. 10. 2014,7186,0.2839,NE,1775            (87 %),"230     (11,3%)",NE        (1797),
216.0,"Zlín                                 (Zlín, ZLK)","Souhlasíte s tím, aby statutární město Zlín zakázalo provozování loterií a sázkových her uvedených v §2 písm. e), g), i), j), l), m) a n) a 50, odst. 3 zákona o loteriích a jiných podobných hrách, tj., zejména výherních hracích přístrojů a interaktivních videoloterijních terminálů, lokálních i centrálních loterijních systémů a jiných obdobných přístrojů, na celém svém území?",2015-01-23 08:00:00,62401,0.1173,NE,"6992 (95,56%)","267 (11,2%)",NE          (15601),
